ID	Latitude	Longitude
716162	34.072002	-117.880137
716163	34.071814	-117.87979
716164	34.071952	-117.87456
716165	34.07172	-117.872992
716166	34.071035	-117.865957
716167	34.070451	-117.86513
716168	34.069881	-117.863508
716169	34.069047	-117.862283
716170	34.069037	-117.841455
716171	34.068106	-117.83743
716178	34.0639	-117.814349
716181	34.067443	-117.801629
716182	34.072518	-117.789858
716183	34.072803	-117.785705
716184	34.072978	-117.784144
716185	34.072839	-117.779264
716187	34.071766	-117.769758
716188	34.071029	-117.761475
716189	34.073286	-117.753978
716190	34.075604	-117.74786
716191	34.077146	-117.744573
716192	34.079138	-117.739234
716193	34.081731	-117.72793
716195	34.081821	-117.721638
716196	34.081722	-117.71693
716197	33.960273	-117.855729
716198		
716199		
716200	33.981951	-117.842186
716201	33.988721	-117.842841
716203	34.059539	-117.804678
716204	34.029636	-118.217534
716205	34.02902	-118.216326
716206	34.029065	-118.211497
716207	34.029648	-118.199219
716208	34.029608	-118.198629
716209	34.03154	-118.190445
716210	34.032146	-118.183387
716211	34.032661	-118.182471
716213	34.034994	-118.173285
716214	34.035886	-118.151414
716215	34.035723	-118.151516
716216	34.034219	-118.148257
716217	34.034655	-118.148653
716218	34.033066	-118.141975
716219	34.03582	-118.095997
716220	34.035853	-118.093489
716221	34.036302	-118.092399
716222	34.036512	-118.090626
716223	34.039225	-118.081093
716224	34.039747	-118.080226
716225	34.041418	-118.066377
716226	34.041255	-118.065153
716227	34.041414	-118.06376
716228	34.041213	-118.062543
716229	34.040308	-118.054105
716230	34.039962	-118.05362
716231	34.03958	-118.051399
716232	34.039693	-118.05069
716233	34.037915	-118.040413
716234	34.037428	-118.039136
716235	34.034891	-118.029411
716237	34.031123	-118.02136
716238	34.03138	-118.02126
716239	34.02896	-118.012462
716240	34.029247	-118.008439
716241	34.012079	-117.980022
716243	34.007035	-117.965011
716244	34.00782	-117.967088
716245	34.006822	-117.963815
716246	34.00598	-117.961572
716249	33.997875	-117.934513
716250	33.996934	-117.931728
716251	33.997	-117.930655
716252	33.996462	-117.928294
716253	33.996291	-117.924633
716254	33.996031	-117.924675
716255	33.994319	-117.908132
716256	33.994314	-117.904483
716257	33.994073	-117.902914
716258	33.994299	-117.890213
716259	33.994085	-117.88949
716260	33.994278	-117.887951
716261	33.994021	-117.886877
716262	33.995905	-117.873496
716263	33.99613	-117.870894
716264	33.996748	-117.866957
716265	33.998463	-117.856533
716267	33.999995	-117.848226
716268	34.000335	-117.84567
716269	34.025038	-117.734229
716270	34.024861	-117.730929
716271	34.06708	-117.804144
716272	33.872586	-118.289005
716273	33.872636	-118.2812
716274	33.872685	-118.27075
716275	33.872471	-118.27074
716276	33.873537	-118.264071
716279	33.873676	-118.251564
716281	33.873339	-118.246168
716282	33.873772	-118.23715
716283	33.87359	-118.236964
716284	33.874114	-118.227251
716285	33.873494	-118.219285
716287	33.873361	-118.213213
716289	33.872905	-118.203748
716290	33.872655	-118.203751
716292	33.87619	-118.191575
716294	33.876737	-118.184403
716295	33.876997	-118.177986
716296	33.876767	-118.177981
716297	33.876459	-118.1704
716298	33.875898	-118.166089
716299	33.876117	-118.161745
716300	33.876265	-118.158652
716301	33.877134	-118.152656
716302	33.876929	-118.149691
716303	33.877179	-118.143773
716304	33.876989	-118.143077
716305	33.877201	-118.142032
716306	33.877024	-118.139428
716307	33.8765	-118.132216
716309	33.87605	-118.122915
716310	33.87621	-118.126705
716311	33.876731	-118.114918
716312	33.876464	-118.114961
716313	33.876234	-118.104961
716314	33.876465	-118.104925
716315	33.876317	-118.084773
716316	33.876536	-118.084783
716317	33.87657	-118.080438
716318	33.876324	-118.080425
716319	33.876358	-118.074686
716320	33.876583	-118.075397
716321	33.876366	-118.070702
716322	33.876613	-118.071914
716323	33.876119	-118.065686
716325	33.866819	-118.050661
716328	34.067067	-118.254688
716330	34.06933	-118.259931
716331	34.070002	-118.262279
716332	34.071462	-118.265891
716333	34.072657	-118.268106
716334	34.074945	-118.273396
716335	34.074797	-118.273463
716336	34.076926	-118.280908
716337	34.077518	-118.282724
716338	34.115919	-117.824413
716339	34.078365	-118.288977
716340	34.081134	-118.29347
716341	34.082786	-118.297762
716342	34.085801	-118.301771
716343	34.085657	-118.301901
716344	34.089949	-118.306085
716345	34.090089	-118.305929
716346	34.094618	-118.310464
716347	34.094488	-118.310649
716348	34.096382	-118.313222
716349	34.099575	-118.315495
716351	34.104365	-118.323801
716352	34.105922	-118.327165
716353	34.106229	-118.328138
716355	34.115601	-118.33666
716356	34.129747	-118.348132
716358	34.134933	-118.358849
716359	34.139643	-118.365139
716360	34.139513	-118.36535
716362	34.147297	-118.371049
716363	34.151437	-118.374683
716364	34.154581	-118.381115
716365	34.154314	-118.394541
716366	34.156627	-118.412272
716367	34.156829	-118.415379
716368	34.156121	-118.44689
716369	34.15746	-118.450006
716370	34.159347	-118.461778
716371	34.165132	-118.474715
716372	34.171285	-118.520359
716373	34.171531	-118.531109
716374	34.173406	-118.538066
716375	34.173426	-118.550079
716376	34.17368	-118.555198
716377	34.172374	-118.570043
716378	34.171556	-118.573031
716379	34.167855	-118.586613
716380	34.168519	-118.590528
716381	34.16912	-118.595733
716382	34.17043	-118.60432
716383	34.170677	-118.606564
716384	34.170894	-118.607747
716385	34.169734	-118.611241
716386	34.162351	-118.629794
716387	34.159836	-118.636043
716388	34.158544	-118.640131
